contour_id,area,perimeter,center_x,center_y,is_convex,vertices_count,bound_x,bound_y,bound_width,bound_height
0,511.00,144.51,33,333,0,11,10,325,49,18
1,206.00,70.57,86,310,0,9,75,304,24,16
2,383.50,109.64,641,307,0,13,625,300,35,16
3,1420.50,352.32,584,220,0,4,520,213,130,16
4,223.50,73.01,118,199,0,12,108,192,22,16
5,750.00,241.02,615,171,0,7,572,164,81,16
6,376.50,118.27,550,170,0,12,531,164,39,16
7,381.00,131.34,504,171,0,11,484,164,42,19
8,237.00,75.60,124,85,0,12,114,78,22,16
9,96.00,37.94,631,72,1,6,625,66,14,14
10,156.50,52.04,696,37,0,7,688,31,16,14
11,153510.00,5070.26,345,257,0,5,63,10,625,451
12,71.00,32.28,649,432,1,4,644,427,12,12
13,71.00,32.28,85,432,1,4,80,427,12,12
14,857.00,206.11,558,419,0,13,534,395,57,38
15,223.50,67.98,135,378,0,9,123,369,24,19
16,496.00,94.28,533,378,1,8,526,359,15,40
17,496.00,94.28,446,378,1,8,439,359,15,40
18,496.00,94.28,380,378,1,8,373,359,15,40
19,496.00,94.28,156,378,1,8,149,359,15,40
20,60.00,30.28,605,323,1,6,600,318,11,12
21,71.00,33.11,134,305,1,5,128,300,13,12
22,6888.50,393.24,411,368,0,6,381,298,66,135
23,356.00,74.28,591,310,1,8,584,296,15,30
24,60.00,30.28,605,297,1,6,600,292,11,12
25,500.00,95.11,155,301,0,8,148,282,16,40
26,1146.00,135.68,440,297,0,8,419,276,41,44
27,29171.50,1078.91,262,358,0,8,157,257,224,176
28,272.50,79.50,350,366,0,13,339,359,26,16
29,282.00,65.94,163,269,0,7,156,257,16,26
30,7096.50,426.07,562,326,0,6,533,256,57,158
31,12304.50,789.85,491,341,0,10,446,256,88,177
32,71.00,32.28,80,256,1,4,75,251,12,12
33,1131.00,134.85,232,256,0,7,211,234,41,44
34,3122.00,335.71,403,254,0,11,381,215,65,81
35,10584.00,444.02,311,254,0,5,238,214,141,82
36,52.00,40.63,299,249,0,9,295,243,8,17
37,937.50,317.00,289,265,0,13,260,243,69,37
38,3406.50,308.78,191,225,0,9,156,194,82,63
39,1140.50,135.10,440,214,0,8,419,193,41,44
40,93.50,40.18,191,186,0,8,185,179,13,15
41,4500.00,353.48,313,194,0,7,238,170,141,44
42,1131.00,134.85,242,169,0,7,224,147,41,44
43,1146.00,135.68,338,164,0,8,317,143,44,41
44,496.00,94.28,237,99,1,8,230,80,15,40
45,496.00,94.28,154,99,1,8,147,80,15,40
46,12378.50,726.74,396,121,0,10,338,55,108,158
47,338.50,114.61,418,170,0,11,401,164,36,16
48,330.00,141.82,383,103,0,13,365,97,36,17
49,9135.50,399.72,288,105,0,6,237,55,101,114
50,8280.00,789.86,192,123,0,10,155,55,83,142
51,71.00,32.28,645,54,1,4,640,49,12,12
52,952.50,186.69,527,29,0,10,506,10,49,37
53,80.00,36.77,523,29,1,4,517,23,14,14
