part_id,parent_contour_id,segment_index,vertex_count,centroid_x,centroid_y,min_x,min_y,max_x,max_y
0,0,0,52,38.06,333.40,10,325,58,342
1,1,0,30,87.17,310.60,75,304,98,319
2,2,0,29,646.14,307.52,625,300,659,315
3,3,0,149,579.74,221.31,520,213,649,228
4,4,0,19,121.68,198.68,108,192,129,207
5,5,0,86,612.95,171.53,572,164,652,179
6,6,0,42,546.67,171.38,531,164,569,179
7,7,0,50,503.00,172.00,484,164,525,182
8,8,0,26,126.15,86.31,114,78,135,93
9,9,0,6,630.17,71.17,625,66,638,79
10,10,0,14,696.93,37.07,688,31,703,44
11,11,0,101,583.36,44.13,509,10,636,54
12,11,1,12,445.00,53.00,438,51,452,54
13,11,2,8,337.00,53.25,331,52,343,54
14,11,3,12,236.00,53.00,229,51,243,54
15,11,4,93,102.84,107.42,63,53,154,126
16,11,5,268,111.26,306.35,67,214,156,432
17,11,6,20,84.40,432.50,78,425,95,440
18,11,7,8,157.00,433.75,151,433,163,435
19,11,8,136,503.38,439.71,374,414,657,460
20,11,9,108,517.00,247.75,446,187,613,339
21,11,10,4,449.00,58.00,446,55,452,61
22,11,11,293,618.16,73.87,507,10,687,119
23,12,0,8,649.50,432.50,644,427,655,438
24,13,0,8,85.50,432.50,80,427,91,438
25,14,0,53,558.43,415.60,534,395,590,432
26,15,0,18,133.83,377.89,123,369,146,387
27,16,0,8,533.00,378.50,526,359,540,398
28,17,0,8,446.00,378.50,439,359,453,398
29,18,0,8,380.00,378.50,373,359,387,398
30,19,0,8,156.00,378.50,149,359,163,398
31,20,0,6,605.00,323.50,600,318,610,329
32,21,0,5,134.00,304.20,128,300,140,311
33,22,0,40,427.43,341.65,386,298,446,432
34,22,1,14,385.00,390.86,381,303,390,432
35,23,0,8,591.00,310.50,584,296,598,325
36,24,0,6,605.00,297.50,600,292,610,303
37,25,0,12,157.50,301.17,148,282,163,321
38,26,0,46,438.93,293.72,419,276,459,319
39,27,0,25,211.32,273.88,177,257,238,298
40,27,1,128,320.49,389.37,264,298,380,432
41,27,2,31,166.97,344.84,157,262,180,432
42,28,0,25,350.96,368.32,339,359,364,374
43,29,0,13,164.54,267.38,156,257,171,282
44,30,0,13,574.15,290.15,538,256,589,332
45,30,1,30,563.87,390.83,534,352,589,413
46,30,2,2,533.50,261.50,533,261,534,262
47,31,0,18,499.39,266.83,451,256,532,278
48,31,1,13,527.54,398.15,523,352,533,432
49,31,2,103,470.68,378.17,446,261,503,432
50,32,0,8,80.50,256.50,75,251,86,262
51,33,0,53,230.26,257.02,211,234,251,277
52,34,0,83,417.11,253.92,381,215,445,295
53,35,0,2,243.50,214.50,243,214,244,215
54,35,1,2,375.50,217.50,373,215,378,220
55,35,2,2,375.50,292.50,373,290,378,295
56,35,3,27,247.48,254.56,238,219,254,295
57,36,0,19,299.37,251.11,295,243,302,259
58,37,0,102,286.46,264.68,260,243,328,279
59,38,0,90,201.97,220.32,156,194,237,256
60,39,0,44,439.09,209.82,419,193,459,236
61,40,0,11,192.00,186.82,185,179,197,193
62,41,0,26,343.77,182.69,311,170,378,212
63,41,1,24,257.88,190.88,238,171,277,213
64,42,0,53,244.74,170.02,224,147,264,190
65,43,0,46,334.72,162.93,317,143,360,183
66,44,0,8,237.00,99.50,230,80,244,119
67,45,0,8,154.00,99.50,147,80,161,119
68,46,0,2,343.50,55.50,343,55,344,56
69,46,1,5,441.20,57.40,438,55,445,61
70,46,2,128,389.48,143.63,339,116,444,212
71,46,3,3,338.33,61.00,338,60,339,62
72,47,0,45,417.51,171.18,401,164,436,179
73,48,0,47,382.57,104.30,365,97,400,113
74,49,0,2,242.50,55.50,242,55,243,56
75,49,1,6,333.83,58.17,330,55,337,62
76,49,2,55,279.05,138.40,237,60,336,168
77,50,0,168,204.06,139.44,156,55,237,196
78,50,1,13,161.15,94.69,155,56,168,126
79,51,0,8,645.50,54.50,640,49,651,60
80,52,0,61,529.44,29.84,506,10,554,46
81,53,0,4,523.50,29.50,517,23,530,36
